"SECRETARIA DO TESOURO NACIONAL - STN",,,,,
"COORDENAÇÃO-GERAL DE ANÁLISE, INFORMAÇÕES E EXECUÇÃO DE E TRANSFERÊNCIAS FINANCEIRAS INTERGOVERNAMENTAIS - COINT",,,,,
,,,,,
"Art. 5º da LC 173 - Programa Federativo de Enfrentamento ao Coronavírus","1ª Parcela
Crédito em 09/06/20
VALOR R$ ","2ª Parcela
Crédito em 13/07/20
VALOR R$ ","3ª Parcela
Crédito em 12/08/20
VALOR R$ ","4ª Parcela
Crédito em 11/09/20
VALOR R$ ","TOTAL
VALOR R$"
0006,1100924,Chupinguaia,RO,40488.7,357060.26,40488.7,357060.26,40488.7,357060.26,41226.53,362398.19,1596271.5999999999
0007,1100023,Ariquemes,RO,390559.19,3444248.83,390559.19,3444248.83,390559.19,3444248.83,393589.06,3459809.75,15357822.870000001
0008,1100940,Cujubim,RO,91300.54,805157.79,91300.54,805157.79,91300.54,805157.79,94092.95,827115.75,3610583.6900000004
0009,1100049,Cacoal,RO,309074.86,2725657.88,309074.86,2725657.88,309074.86,2725657.88,308670.74,2713342.76,12126211.719999999
0010,1101435,"Nova União",RO,25237.55,222563.94,25237.55,222563.94,25237.55,222563.94,24778.33,217811.68,985994.48
0011,1100189,"Pimenta Bueno",RO,132741.53,1170616.08,132741.53,1170616.08,132741.53,1170616.08,132537.99,1165063.44,5207674.26
0012,1101450,Parecis,RO,21993.24,193953.14,21993.24,193953.14,21993.24,193953.14,22273.54,195793.59,865906.27
0013,1100304,Vilhena,RO,361559.55,3188507.85,361559.55,3188507.85,361559.55,3188507.85,367312.17,3228825.12,14246339.489999998
0014,1101468,"Pimenteiras do Oeste",RO,7853.69,69259.85,7853.69,69259.85,7853.69,69259.85,7719.19,67854.89,306914.7
0015,1100114,Jaru,RO,187471.16,1653263.71,187471.16,1653263.71,187471.16,1653263.71,185505.03,1630665.51,7338375.149999999
0016,1101476,"Primavera de Rondônia",RO,10341.24,91196.93,10341.24,91196.93,10341.24,91196.93,9976.02,87693.29,402283.82
0017,1100155,"Ouro Preto do Oeste",RO,130478.48,1150658.77,130478.48,1150658.77,130478.48,1150658.77,128426.83,1128924.71,5100763.29
0018,1101484,"São Felipe DOeste",RO,18727.2,165150.75,18727.2,165150.75,18727.2,165150.75,18205.51,160033.93,729873.29
0019,1100254,"Presidente Médici",RO,68746.06,606255.23,68746.06,606255.23,68746.06,606255.23,66737.97,586654.19,2678396.0300000003
0020,1101492,"São Francisco do Guaporé",RO,73380.79,647127.81,73380.79,647127.81,73380.79,647127.81,74320.6,653308.67,2889155.0700000003
0021,1100080,"Costa Marques",RO,66374.39,585339.97,66374.39,585339.97,66374.39,585339.97,67553.73,593825.07,2616521.88
0022,1101559,Teixeirópolis,RO,15598.76,137561.76,15598.76,137561.76,15598.76,137561.76,15211.99,133719.63,608413.18
0023,1100064,"Colorado do Oeste",RO,57506.85,507139.24,57506.85,507139.24,57506.85,507139.24,55859.94,491031.86,2240830.07
0024,1101757,"Vale do Anari",RO,40568.36,357762.75,40568.36,357762.75,40568.36,357762.75,40885.14,359397.16,1595275.63
0025,1100098,"Espigão DOeste",RO,117222.43,1033756.82,117222.43,1033756.82,117222.43,1033756.82,117494.9,1032828.54,4603261.1899999995
0026,1400027,Amajari,RR,46332.81,526437.17,46332.81,526437.17,46332.81,526437.17,47382.48,520594.82,2286287.2399999998
0027,1100056,Cerejeiras,RO,59103.66,521221.12,59103.66,521221.12,59103.66,521221.12,58231.76,511881.13,2311087.23
0028,1400175,Cantá,RR,66388.87,754315.85,66388.87,754315.85,66388.87,754315.85,67557.32,742257.27,3271928.75
0029,1100288,"Rolim de Moura",RO,199358.52,1758095.47,199358.52,1758095.47,199358.52,1758095.47,199114.24,1750296.09,7821772.3
0030,1400233,Caroebe,RR,36820.75,418360.4,36820.75,418360.4,36820.75,418360.4,37313.03,409961.02,1812817.5000000002
0031,5204557,Caldazinha,GO,13773.83,104845.01,13773.83,104845.01,13773.83,104845.01,13828.43,104638.57,474323.51999999996
0032,1400282,Iracema,RR,43269.54,491632.09,43269.54,491632.09,43269.54,491632.09,44187.71,485493.66,2134386.2600000002
0033,1100015,"Alta Floresta DOeste",RO,83081.14,732672.83,83081.14,732672.83,83081.14,732672.83,81676.84,717972.99,3246911.7399999993
0034,1400456,Pacaraima,RR,63006.97,715890.38,63006.97,715890.38,63006.97,715890.38,67967,746758.43,3151417.48
0035,1100346,"Alvorada DOeste",RO,52180.53,460167.71,52180.53,460167.71,52180.53,460167.71,50692.25,445605.73,2033342.7
0036,1400472,Rorainópolis,RR,109216.66,1240928.77,109216.66,1240928.77,109216.66,1240928.77,110620.22,1215392.48,5376448.99
0037,1100031,Cabixi,RO,19234.12,169621.18,19234.12,169621.18,19234.12,169621.18,18643.94,163887.89,749097.7299999999
0038,1400704,Uiramutã,RR,38232.89,434405.29,38232.89,434405.29,38232.89,434405.29,38772.06,425991.47,1882678.07
0039,1100130,"Machadinho DOeste",RO,144802.69,1276980.57,144802.69,1276980.57,144802.69,1276980.57,146862.34,1290980.39,5703192.51
0040,1500859,Anapu,PA,100986.4,601597.45,100986.4,601597.45,100986.4,601597.45,102804,610823.71,2821379.26
